BaronKills,DominionVictoryScore,DragonKills,FirstBaron,FirstBlood,FirstDragon,FirstInhibitor,FirstTower,InhibitorKills,TeamId,TowerKills,VilemawKills,Winner,MatchId
0,0,1,False,False,False,False,False,0,100,5,0,False,2483701978
1,0,2,True,True,True,False,True,0,200,4,0,False,2483710154
0,0,2,False,False,False,True,False,3,100,9,0,True,2483710154
1,0,3,True,False,True,True,False,3,100,10,0,True,2483715576
0,0,1,False,True,False,False,True,0,200,4,0,False,2483715576
0,0,2,False,False,True,True,True,1,100,7,0,True,2483716206
0,0,2,False,True,False,False,False,0,200,2,0,False,2483716206
0,0,2,False,False,True,False,False,0,200,2,0,False,2483800555
0,0,1,False,True,False,True,True,1,100,8,0,True,2483800555
1,0,2,True,True,True,True,True,1,200,8,0,True,2483801041
0,0,1,False,False,False,False,False,0,100,2,0,False,2483801041
0,0,0,False,True,False,False,False,0,200,5,0,False,2483807239
1,0,3,True,False,True,True,True,2,100,9,0,True,2483807239
0,0,2,False,True,True,False,False,0,200,2,0,False,2483819037
1,0,1,True,False,False,True,True,2,100,8,0,True,2483819037
1,0,1,True,True,False,True,False,3,100,7,0,True,2483902776
0,0,3,False,False,True,False,True,0,200,3,0,False,2483902776
0,0,0,False,True,False,False,False,0,200,0,0,False,2483907556
0,0,1,False,False,True,True,True,2,100,9,0,True,2483907556
0,0,1,False,True,True,True,True,1,100,7,0,True,2483982903
0,0,0,False,False,False,False,False,0,200,0,0,False,2483982903
1,0,2,True,False,False,True,False,2,100,9,0,True,2483985007
0,0,1,False,True,True,False,True,0,200,4,0,False,2483985007
0,0,2,False,False,True,False,True,0,200,2,0,False,2484000323
1,0,1,True,True,False,True,False,3,100,11,0,True,2484000323
1,0,3,True,False,False,True,False,3,200,11,0,True,2484121170
0,0,1,False,True,True,False,True,0,100,3,0,False,2484121170
0,0,3,False,False,True,True,True,3,200,11,0,True,2484123643
0,0,0,False,True,False,False,False,0,100,2,0,False,2484123643
2,0,1,True,False,True,True,False,2,200,9,0,True,2484191779
0,0,3,False,True,False,False,True,0,100,4,0,False,2484191779
1,0,0,True,False,False,False,False,0,200,3,0,False,2484203628
0,0,3,False,True,True,True,True,2,100,9,0,True,2484203628
0,0,3,False,False,False,True,False,2,100,10,0,True,2484215107
0,0,1,False,True,True,False,True,0,200,3,0,False,2484215107
1,0,2,True,False,True,True,False,2,200,9,0,True,2484263924
1,0,2,False,True,False,False,True,0,100,6,0,False,2484263924
0,0,1,False,False,False,False,False,0,100,5,0,False,2484298449
1,0,4,True,True,True,True,True,2,200,9,0,True,2484298449
0,0,0,False,False,False,False,False,0,200,2,0,False,2484315068
0,0,3,False,True,True,True,True,1,100,8,0,True,2484315068
0,0,0,False,False,False,False,False,0,200,0,0,False,2484320656
0,0,3,False,True,True,True,True,2,100,9,0,True,2484320656
0,0,2,False,True,False,True,False,1,200,7,0,True,2484330042
1,0,2,True,False,True,False,True,0,100,4,0,False,2484330042
0,0,0,False,False,False,False,False,0,100,1,0,False,2484344368
1,0,3,True,True,True,True,True,5,200,11,0,True,2484344368
1,0,2,True,False,False,True,False,2,200,10,0,True,2484351361
0,0,1,False,True,True,False,True,0,100,3,0,False,2484351361
1,0,3,True,True,True,True,False,2,100,11,0,True,2484371717
0,0,0,False,False,False,False,True,0,200,3,0,False,2484371717
0,0,0,False,False,False,False,False,1,200,6,0,False,2484387662
2,0,6,True,True,True,True,True,5,100,11,0,True,2484387662
1,0,0,True,False,False,True,False,1,100,7,0,True,2484393191
0,0,4,False,True,True,False,True,0,200,6,0,False,2484393191
0,0,1,False,False,True,False,True,0,100,3,0,False,2484394909
1,0,3,True,True,False,True,False,5,200,11,0,True,2484394909
0,0,0,False,False,False,False,False,0,100,2,0,False,2484397725
1,0,4,True,True,True,True,True,2,200,10,0,True,2484397725
0,0,0,False,True,False,False,False,0,200,1,0,False,2484398085
0,0,2,False,False,True,True,True,2,100,7,0,True,2484398085
1,0,3,False,False,True,True,False,4,200,9,0,True,2484400343
2,0,3,True,True,False,False,True,4,100,9,0,False,2484400343
0,0,5,False,True,True,True,True,1,200,7,0,True,2484402061
0,0,0,False,False,False,False,False,0,100,1,0,False,2484402061
2,0,0,True,False,False,False,False,0,100,2,0,False,2484419868
0,0,4,False,True,True,True,True,2,200,8,0,True,2484419868
0,0,3,False,True,True,True,False,1,100,9,0,True,2484434362
0,0,1,False,False,False,False,True,0,200,4,0,False,2484434362
0,0,2,False,True,True,True,True,2,200,10,0,True,2484435635
0,0,0,False,False,False,False,False,0,100,1,0,False,2484435635
1,0,3,True,True,True,True,False,1,200,8,0,True,2484446514
0,0,1,False,False,False,False,True,0,100,5,0,False,2484446514
0,0,2,False,True,True,True,True,1,200,9,0,True,2484465784
1,0,0,True,False,False,False,False,0,100,1,0,False,2484465784
1,0,3,False,True,False,True,True,2,100,10,0,True,2484468280
1,0,1,True,False,True,False,False,0,200,3,0,False,2484468280
0,0,3,False,True,True,True,True,2,100,9,0,True,2484479210
0,0,1,False,False,False,False,False,0,200,2,0,False,2484479210
1,0,3,True,False,False,True,True,2,100,9,0,True,2484494384
0,0,1,False,True,True,False,False,0,200,3,0,False,2484494384
0,0,0,False,False,False,False,False,0,200,0,0,False,2484505045
0,0,3,False,True,True,True,True,1,100,9,0,True,2484505045
1,0,2,True,True,False,True,True,2,100,11,0,True,2484505702
0,0,1,False,False,True,False,False,0,200,0,0,False,2484505702
0,0,1,False,False,True,False,False,0,100,3,0,False,2484514862
1,0,3,True,True,False,True,True,2,200,10,0,True,2484514862
0,0,1,False,True,True,False,False,0,200,3,0,False,2484517574
1,0,3,True,False,False,True,True,2,100,9,0,True,2484517574
0,0,2,False,True,True,False,True,0,100,3,0,True,2484565685
0,0,0,False,False,False,False,False,0,200,0,0,False,2484565685
0,0,2,False,True,True,True,False,2,100,9,0,True,2484567438
0,0,0,False,False,False,False,True,0,200,2,0,False,2484567438
0,0,0,False,False,False,False,False,0,200,0,0,False,2484580497
0,0,2,False,True,True,True,True,4,100,11,0,True,2484580497
0,0,2,False,True,True,True,True,1,200,5,0,True,2484583994
0,0,0,False,False,False,False,False,0,100,1,0,False,2484583994
